Name,Sweep (T1),,,
Date,8/28/2024,,,
Time,18:25:26,,,
Instrument,FPC1500 - 102769/003,,,
Firmware Version,V1.50,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrogram,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,1500000000,Hz,,
Frequency Offset,0,Hz,,
Span,3000000000,Hz,,
Ref Level,-10,dBm,,
Ref Offset,0,dB,,
Ref Position,1.00,,,
Range,137,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,3000000,Hz,,
VBW,3000000,Hz,,
SWT,1,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Math,Off,,,
Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,
0,7.61893463134766,,,
2538071.06598985,-24.4599800109863,,,
5076142.1319797,-68.1810913085938,,,
7614213.19796954,-65.0057220458984,,,
10152284.2639594,-61.3278465270996,,,
12690355.3299492,-58.6866989135742,,,
15228426.3959391,-56.7567825317383,,,
17766497.4619289,-57.186107635498,,,
20304568.5279188,-63.6504287719727,,,
22842639.5939086,-69.6747436523438,,,
25380710.6598985,-72.2468566894531,,,
27918781.7258883,-68.1974487304688,,,
30456852.7918782,-69.6859664916992,,,
32994923.857868,-69.8012771606445,,,
35532994.9238579,-72.8229370117188,,,
38071065.9898477,-72.1551971435547,,,
40609137.0558376,-72.3811721801758,,,
43147208.1218274,-72.4414596557617,,,
45685279.1878173,-72.588752746582,,,
48223350.2538071,-71.9482269287109,,,
50761421.319797,-71.9850387573242,,,
53299492.3857868,-70.8390502929688,,,
55837563.4517767,-69.5231552124023,,,
58375634.5177665,-70.681884765625,,,
60913705.5837563,-70.2385559082031,,,
63451776.6497462,-71.2848663330078,,,
65989847.715736,-69.6993179321289,,,
68527918.7817259,-69.6657028198242,,,
71065989.8477157,-72.1931076049805,,,
73604060.9137056,-71.899543762207,,,
76142131.9796954,-72.4661407470703,,,
78680203.0456853,-71.5837860107422,,,
81218274.1116751,-69.3970260620117,,,
83756345.177665,-70.6336975097656,,,
86294416.2436548,-59.3519706726074,,,
88832487.3096447,-48.9631576538086,,,
91370558.3756345,-44.9694976806641,,,
93908629.4416244,-45.5115242004395,,,
96446700.5076142,-44.5035133361816,,,
98984771.5736041,-42.2040176391602,,,
101522842.639594,-42.0613441467285,,,
104060913.705584,-50.9000358581543,,,
106598984.771574,-41.7139129638672,,,
109137055.837563,-52.5528602600098,,,
111675126.903553,-72.1276779174805,,,
114213197.969543,-71.2339935302734,,,
116751269.035533,-69.6935119628906,,,
119289340.101523,-70.462272644043,,,
121827411.167513,-68.6452941894531,,,
124365482.233503,-64.5282440185547,,,
126903553.299492,-57.7221984863281,,,
129441624.365482,-54.1926727294922,,,
131979695.431472,-52.6317024230957,,,
134517766.497462,-52.8042678833008,,,
137055837.563452,-53.8878974914551,,,
139593908.629442,-56.8950119018555,,,
142131979.695431,-62.7295379638672,,,
144670050.761421,-65.0468292236328,,,
147208121.827411,-65.4594879150391,,,
149746192.893401,-65.9820556640625,,,
152284263.959391,-67.7866821289063,,,
154822335.025381,-66.5910491943359,,,
157360406.091371,-63.8852348327637,,,
159898477.15736,-62.6459732055664,,,
162436548.22335,-59.9847602844238,,,
164974619.28934,-60.5589141845703,,,
167512690.35533,-60.1023750305176,,,
170050761.42132,-60.1071319580078,,,
172588832.48731,-62.3828468322754,,,
175126903.553299,-64.3310775756836,,,
177664974.619289,-65.7443618774414,,,
180203045.685279,-64.4628372192383,,,
182741116.751269,-64.7322692871094,,,
185279187.817259,-64.6783142089844,,,
187817258.883249,-66.5247802734375,,,
190355329.949239,-65.5466461181641,,,
192893401.015228,-57.7051391601563,,,
195431472.081218,-56.0956916809082,,,
197969543.147208,-61.0786972045898,,,
200507614.213198,-63.2487754821777,,,
203045685.279188,-62.7492980957031,,,
205583756.345178,-65.5432052612305,,,
208121827.411168,-67.5377197265625,,,
210659898.477157,-70.5403747558594,,,
213197969.543147,-68.1617736816406,,,
215736040.609137,-62.986629486084,,,
218274111.675127,-65.6136169433594,,,
220812182.741117,-66.7151336669922,,,
223350253.807107,-67.6719360351563,,,
225888324.873096,-68.2520141601563,,,
228426395.939086,-66.5206146240234,,,
