properties scope

frequencies scope

Timestamp (Absolute),19:02:13 28/11/2024,19:02:13 28/11/2024,19:02:14 28/11/2024,19:02:14 28/11/2024,19:02:15 28/11/2024,19:02:15 28/11/2024,19:02:16 28/11/2024,19:02:16 28/11/2024,19:02:17 28/11/2024,19:02:17 28/11/2024,19:02:18 28/11/2024,19:02:18 28/11/2024,19:02:19 28/11/2024,19:02:19 28/11/2024,19:02:20 28/11/2024,19:02:20 28/11/2024,19:02:21 28/11/2024,19:02:21 28/11/2024,19:02:22 28/11/2024,19:02:22 28/11/2024,19:02:23 28/11/2024,19:02:23 28/11/2024,19:02:24 28/11/2024,19:02:24 28/11/2024,19:02:25 28/11/2024,19:02:25 28/11/2024,19:02:26 28/11/2024,19:02:26 28/11/2024,19:02:27 28/11/2024,19:02:27 28/11/2024,19:02:28 28/11/2024,19:02:28 28/11/2024,19:02:29 28/11/2024,19:02:29 28/11/2024,19:02:30 28/11/2024,19:02:30 28/11/2024,19:02:31 28/11/2024,19:02:31 28/11/2024,19:02:32 28/11/2024,19:02:32 28/11/2024,19:02:33 28/11/2024,19:02:33 28/11/2024,19:02:34 28/11/2024,19:02:34 28/11/2024,19:02:35 28/11/2024,19:02:35 28/11/2024,19:02:36 28/11/2024,19:02:36 28/11/2024,19:02:37 28/11/2024,19:02:37 28/11/2024,19:02:38 28/11/2024,19:02:38 28/11/2024,19:02:39 28/11/2024,19:02:39 28/11/2024,19:02:40 28/11/2024,19:02:40 28/11/2024,19:02:41 28/11/2024,19:02:41 28/11/2024,19:02:42 28/11/2024,19:02:42 28/11/2024,19:02:43 28/11/2024,19:02:43 28/11/2024,19:02:44 28/11/2024,19:02:44 28/11/2024,19:02:45 28/11/2024,19:02:45 28/11/2024,19:02:46 28/11/2024,19:02:46 28/11/2024,19:02:47 28/11/2024,19:02:47 28/11/2024,19:02:48 28/11/2024,19:02:48 28/11/2024,19:02:49 28/11/2024,19:02:49 28/11/2024,19:02:50 28/11/2024,19:02:50 28/11/2024,19:02:51 28/11/2024,19:02:51 28/11/2024,19:02:52 28/11/2024,19:02:52 28/11/2024,19:02:53 28/11/2024,19:02:53 28/11/2024,19:02:54 28/11/2024,19:02:54 28/11/2024,19:02:55 28/11/2024,19:02:55 28/11/2024,19:02:56 28/11/2024,19:02:56 28/11/2024,19:02:57 28/11/2024,19:02:57 28/11/2024,19:02:58 28/11/2024,19:02:58 28/11/2024,19:02:59 28/11/2024,19:02:59 28/11/2024,19:03:00 28/11/2024,19:03:00 28/11/2024
Timestamp (Relative),00:00:47:399834,00:00:46:901541,00:00:46:402722,00:00:45:929444,00:00:45:437564,00:00:44:954778,00:00:44:470216,00:00:43:972379,00:00:43:476475,00:00:42:986094,00:00:42:487098,00:00:41:983163,00:00:41:489767,00:00:40:973866,00:00:40:475387,00:00:39:979832,00:00:39:451752,00:00:38:957823,00:00:38:454748,00:00:37:962737,00:00:37:461975,00:00:36:965455,00:00:36:472188,00:00:35:972185,00:00:35:482522,00:00:34:968968,00:00:34:481859,00:00:33:978791,00:00:33:456875,00:00:32:958986,00:00:32:450157,00:00:31:971610,00:00:31:468816,00:00:30:968167,00:00:30:435741,00:00:29:918394,00:00:29:417381,00:00:28:924010,00:00:28:427414,00:00:27:925225,00:00:27:421867,00:00:26:935087,00:00:26:443110,00:00:25:941442,00:00:25:444574,00:00:24:937958,00:00:24:451680,00:00:23:954957,00:00:23:463996,00:00:22:957447,00:00:22:469200,00:00:21:975311,00:00:21:488464,00:00:21:006019,00:00:20:503388,00:00:20:025365,00:00:19:533155,00:00:19:022047,00:00:18:525462,00:00:18:028521,00:00:17:541785,00:00:17:044281,00:00:16:535162,00:00:16:048966,00:00:15:527191,00:00:15:038100,00:00:14:541226,00:00:14:037561,00:00:13:547967,00:00:13:055385,00:00:12:554534,00:00:12:027546,00:00:11:534126,00:00:11:031204,00:00:10:520203,00:00:10:015119,00:00:09:512990,00:00:09:024623,00:00:08:531067,00:00:07:982415,00:00:07:488654,00:00:06:992293,00:00:06:507703,00:00:06:001501,00:00:05:508454,00:00:05:020439,00:00:04:520831,00:00:04:030692,00:00:03:523448,00:00:03:014153,00:00:02:512421,00:00:02:016118,00:00:01:522078,00:00:01:012348,00:00:00:504840,00:00:00:000000
Frequency [Hz],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm],Magnitude [dBm]
393700000.0,1.208962193e-13,4.810834968e-14,8.90524754e-14,9.273799249e-14,7.857318413e-14,7.974741489e-14,1.362276098e-13,7.868064653e-14,1.053308386e-13,1.217958033e-13,9.041348621e-14,6.787872929e-14,1.063972093e-13,9.501437297e-14,9.104241606e-14,1.025486318e-13,9.877955224e-14,7.809155394e-14,7.431456048e-14,8.287149076e-14,8.166933532e-14,1.080608845e-13,7.831438698e-14,5.003866622e-14,9.66982693e-14,7.193061232e-14,1.813607888e-13,5.115088468e-14,3.63713124e-14,3.966467779e-14,7.708457251e-14,5.097775154e-14,1.017804788e-13,8.901274814e-14,7.961191825e-14,5.100157855e-14,8.407775199e-14,8.591214561e-14,7.514635121e-14,5.566817638e-14,1.353997108e-13,7.569540536e-14,7.248748995e-14,1.006581203e-13,8.325350507e-14,2.112189947e-13,6.362421493e-14,7.550973214e-14,3.970399692e-14,5.44673978e-14,9.196590768e-14,7.473901386e-14,4.026486989e-14,4.024676589e-14,8.556992808e-14,7.011853355e-14,4.985283027e-14,8.495671139e-14,6.153335079e-14,7.799969339e-14,6.193689974e-14,5.69833511e-14,8.793056466e-14,1.04919748e-13,1.682021737e-13,6.698708174e-14,9.10944105e-14,6.940028223e-14,1.288414317e-13,8.143380891e-14,1.332879703e-13,4.822054524e-14,4.629175998e-14,3.815847712e-14,6.331881016e-14,7.632499395e-14,1.041285289e-13,9.057373107e-14,5.114225899e-14,1.165049699e-13,5.242542153e-14,7.720871435e-14,7.785854885e-14,7.341545692e-14,1.083456305e-13,1.276222843e-13,1.236880893e-13,4.072291588e-14,4.762752034e-14,6.482407041e-14,6.086539185e-14,7.282637042e-14,9.070286438e-14,8.021896209e-14,4.854343716e-14,1.040802476e-13
393701015.2284264,1.16829e-13,4.625152295e-14,8.899273482e-14,9.628026844e-14,8.11242502e-14,8.291546852e-14,1.512398151e-13,7.595435382e-14,1.067593109e-13,1.242076241e-13,9.544029004e-14,6.571762877e-14,1.000372497e-13,8.905654297e-14,9.369333097e-14,9.940833287e-14,1.045903406e-13,8.083375867e-14,7.714038451e-14,8.375108026e-14,8.065474897e-14,1.099392966e-13,7.199812176e-14,5.265543152e-14,9.310429728e-14,7.125798824e-14,1.884211715e-13,5.193099404e-14,3.513140313e-14,3.895424663e-14,7.731947195e-14,4.735404207e-14,1.021028303e-13,8.707053557e-14,8.559789283e-14,5.531198111e-14,8.00415951e-14,8.822067443e-14,8.075002011e-14,5.359069083e-14,1.351924547e-13,7.292558872e-14,7.265092529e-14,1.027874288e-13,8.428064376e-14,2.179924575e-13,6.705501661e-14,7.425074853e-14,3.826937856e-14,5.110992563e-14,9.028317884e-14,8.211170306e-14,3.908654495e-14,3.73775849e-14,8.796285493e-14,6.953745318e-14,5.094247936e-14,8.676835394e-14,6.052036663e-14,8.012206543e-14,6.364590215e-14,5.809112702e-14,8.589267853e-14,1.041486527e-13,1.6603906e-13,6.915007143e-14,8.863700056e-14,6.62527048e-14,1.371942684e-13,8.531176187e-14,1.432232382e-13,4.856160474e-14,4.729451662e-14,4.21514304e-14,6.444698069e-14,7.593754331e-14,1.050685965e-13,8.716006298e-14,4.79965838e-14,1.152621474e-13,5.58535107e-14,7.724100225e-14,8.228917578e-14,7.394406994e-14,1.164769337e-13,1.364923103e-13,1.254714955e-13,3.927817549e-14,4.648734543e-14,6.719687716e-14,6.344607864e-14,6.850826208e-14,9.201842952e-14,8.375005037e-14,4.731462718e-14,1.026356815e-13
393702030.4568528,1.119215134e-13,4.620783026e-14,9.05489127e-14,9.893898066e-14,8.336912608e-14,8.629422853e-14,1.660933225e-13,7.331170836e-14,1.078060484e-13,1.257718459e-13,1.005386545e-13,6.301531419e-14,9.326734504e-14,8.319385474e-14,9.544833821e-14,9.629583046e-14,1.101186711e-13,8.274812822e-14,7.977515851e-14,8.386680297e-14,7.92496764e-14,1.109462455e-13,6.998415042e-14,5.484637759e-14,8.796192777e-14,7.007986583e-14,1.943754257e-13,5.225348184e-14,3.374235218e-14,4.052238583e-14,8.248166551e-14,4.357903899e-14,1.010759489e-13,8.480580836e-14,9.111409614e-14,5.949698166e-14,7.575127615e-14,9.007517251e-14,8.627846399e-14,5.105751721e-14,1.343807613e-13,7.323190259e-14,7.284978656e-14,1.038619815e-13,8.47501077e-14,2.232147243e-13,7.050564289e-14,7.245922572e-14,3.664516855e-14,5.060549682e-14,8.78257417e-14,8.933906694e-14,3.766007626e-14,3.42703844e-14,8.944805311e-14,6.812505796e-14,5.173349508e-14,8.825756742e-14,6.143840626e-14,8.155879388e-14,6.487647573e-14,5.93764874e-14,8.329797821e-14,1.028251749e-13,1.62116861e-13,7.097800851e-14,9.697385559e-14,6.288515363e-14,1.444418844e-13,8.905638652e-14,1.53569864e-13,5.015553978e-14,4.774849151e-14,4.564805759e-14,6.536094134e-14,7.576804543e-14,1.056661051e-13,8.250702661e-14,4.486512422e-14,1.136763619e-13,5.925936017e-14,7.938358032e-14,8.637294269e-14,7.382686324e-14,1.241882058e-13,1.445388479e-13,1.265170918e-13,3.76741707e-14,4.755678908e-14,6.871425053e-14,6.607904865e-14,6.398873367e-14,9.263573772e-14,8.641316161e-14,4.576906622e-14,1.007911839e-13
393703045.6852792,1.062380798e-13,4.521881883e-14,9.126916907e-14,1.006581203e-13,8.519195009e-14,8.983654972e-14,1.804214409e-13,7.073242215e-14,1.083951288e-13,1.265039793e-13,1.056570098e-13,5.98254517e-14,8.621876677e-14,7.74785561e-14,9.626809123e-14,9.325948077e-14,1.153204778e-13,8.381466381e-14,8.216696876e-14,8.318976266e-14,7.748672308e-14,1.110499823e-13,7.107470862e-14,5.655968982e-14,8.150250545e-14,6.842803515e-14,1.990794761e-13,5.21399626e-14,3.295836797e-14,4.202278219e-14,8.742858356e-14,4.700973523e-14,9.876775296e-14,8.224264059e-14,9.602554479e-14,6.346703617e-14,7.129354858e-14,9.143253671e-14,9.15916914e-14,4.808840862e-14,1.330830114e-13,7.409165352e-14,7.307280831e-14,1.038342516e-13,8.46864096e-14,2.266850993e-13,7.460888116e-14,7.014268089e-14,3.485342671e-14,5.448558092e-14,8.467004632e-14,9.620705922e-14,3.598938862e-14,3.101178714e-14,9.004495411e-14,6.594001132e-14,5.222576698e-14,8.945999627e-14,6.265105747e-14,8.222068281e-14,6.559467601e-14,6.085940439e-14,8.022304897e-14,1.010132884e-13,1.5655614e-13,7.242664642e-14,1.053473083e-13,5.933811422e-14,1.503737702e-13,9.258351411e-14,1.642231073e-13,5.157388049e-14,4.770807782e-14,4.855350099e-14,6.601268238e-14,7.608282347e-14,1.058474326e-13,7.681313418e-14,4.184465723e-14,1.217389025e-13,6.262684869e-14,8.174454885e-14,9.005713518e-14,7.30766595e-14,1.312382113e-13,1.516569881e-13,1.267063738e-13,3.595109541e-14,4.808536749e-14,6.933983735e-14,6.806847399e-14,5.942678545e-14,9.250661521e-14,8.812014961e-14,4.392907668e-14,9.855577976e-14
393704060.9137056,9.987815702e-14,4.334616538e-14,9.111793774e-14,1.0141032e-13,8.647755085e-14,9.346646613e-14,1.938421063e-13,6.818156918e-14,1.08482758e-13,1.264484331e-13,1.107554049e-13,5.62212915e-14,7.902668101e-14,7.197030121e-14,9.612512423e-14,9.031823701e-14,1.201560059e-13,8.406948107e-14,8.428064376e-14,8.171324931e-14,7.539706341e-14,1.102619166e-13,7.215741141e-14,5.776182816e-14,7.402400161e-14,6.6338422e-14,2.0243832e-13,5.208430197e-14,3.591353694e-14,4.344954466e-14,9.210123248e-14,5.188722263e-14,9.528516022e-14,7.940491992e-14,1.002004682e-13,6.713445932e-14,6.676046426e-14,9.226025453e-14,9.65390596e-14,4.47332228e-14,1.314435618e-13,7.423496712e-14,7.331170836e-14,1.026957401e-13,8.410936619e-14,2.282611531e-13,7.785677077e-14,6.730994313e-14,3.5678728e-14,5.796594396e-14,8.797490888e-14,1.024902797e-13,3.817262397e-14,2.849167735e-14,8.979079391e-14,6.305451456e-14,5.243150032e-14,9.041253322e-14,6.334317515e-14,8.203096371e-14,6.577849821e-14,6.254812486e-14,7.674448033e-14,9.877365242e-14,1.495184631e-13,7.343570822e-14,1.135835398e-13,5.565575792e-14,1.548371007e-13,9.578764793e-14,1.750544752e-13,5.278861689e-14,4.724809555e-14,5.080931014e-14,6.635345723e-14,7.607480446e-14,1.055609069e-13,7.030416404e-14,3.90300748e-14,1.295998571e-13,6.594198061e-14,8.418579162e-14,9.328963073e-14,7.676079523e-14,1.374041106e-13,1.577504407e-13,1.259398782e-13,3.757925102e-14,4.803487907e-14,6.908159165e-14,6.93718812e-14,5.498182057e-14,9.159877137e-14,8.880626471e-14,4.182848817e-14,9.593685418e-14
393705076.142132,9.295688354e-14,4.068358827e-14,9.00871994e-14,1.012113428e-13,8.71222513e-14,9.71160376e-14,2.059884044e-13,6.561818762e-14,1.080210267e-13,1.256724588e-13,1.158020174e-13,5.22773541e-14,7.181899423e-14,6.671263104e-14,9.501837901e-14,8.74961887e-14,1.245896233e-13,8.355592163e-14,8.607136761e-14,7.946492468e-14,7.302096547e-14,1.08610137e-13,7.322804322e-14,5.843626288e-14,6.586510606e-14,6.386295699e-14,2.04348474e-13,5.186717306e-14,3.894028896e-14,4.480479173e-14,9.644718375e-14,5.638449148e-14,9.078783275e-14,7.632432354e-14,1.035238914e-13,7.041800481e-14,6.223924719e-14,9.252709366e-14,1.009804649e-13,4.681869579e-14,1.295887016e-13,7.369365804e-14,7.353846957e-14,1.004712085e-13,8.306271605e-14,2.278388966e-13,8.005368863e-14,6.398266376e-14,3.711722508e-14,6.093407594e-14,9.134038583e-14,1.079701819e-13,4.190924871e-14,2.81416771e-14,8.875791511e-14,5.956600507e-14,5.236890417e-14,9.11509181e-14,6.346012388e-14,8.096536077e-14,6.543550313e-14,6.44407541e-14,7.293916973e-14,1.018284088e-13,1.411971887e-13,7.397226362e-14,1.215169018e-13,5.186853983e-14,1.577182974e-13,9.857586561e-14,1.859336791e-13,5.377742157e-14,4.646317862e-14,5.316600193e-14,6.633725663e-14,7.573584105e-14,1.047378017e-13,6.323021851e-14,3.649188941e-14,1.368957367e-13,6.919454675e-14,8.658304621e-14,9.603752262e-14,8.01707808e-14,1.424724111e-13,1.627626372e-13,1.241522137e-13,4.326719615e-14,4.7385248e-14,6.796762483e-14,6.997726593e-14,5.079726169e-14,8.99038057e-14,8.844319616e-14,3.950015646e-14,9.296276254e-14
393706091.3705584,8.560571256e-14,3.73642578e-14,8.81806986e-14,1.000931502e-13,8.703475036e-14,1.007019835e-13,2.16512407e-13,6.300535188e-14,1.069861089e-13,1.242556373e-13,1.207650382e-13,4.807236038e-14,7.001612303e-14,6.174764837e-14,9.605321414e-14,8.480193494e-14,1.285777893e-13,8.235830454e-14,8.750418185e-14,7.648754087e-14,7.184675629e-14,1.061664373e-13,7.427096929e-14,5.858160018e-14,6.898929998e-14,6.105537134e-14,2.047473369e-13,5.141159719e-14,4.200285476e-14,4.608639023e-14,1.004390904e-13,6.031488436e-14,8.547467603e-14,7.303302463e-14,1.059116033e-13,7.32517172e-14,5.781949308e-14,9.223659438e-14,1.047771844e-13,5.032305146e-14,1.276267683e-13,7.251168881e-14,7.371748254e-14,9.722323789e-14,8.158989093e-14,2.253707988e-13,8.227038511e-14,6.02037319e-14,3.850547285e-14,6.329067415e-14,9.458902726e-14,1.124536382e-13,4.542008314e-14,2.744150322e-14,8.703077514e-14,5.558716406e-14,5.263933872e-14,9.169569319e-14,6.29719343e-14,7.902445978e-14,7.15027615e-14,6.651486304e-14,6.889180633e-14,1.081923296e-13,1.318274339e-13,7.400059804e-14,1.289705101e-13,5.295003749e-14,1.589527352e-13,1.008437854e-13,1.966999134e-13,5.452799989e-14,4.545839895e-14,5.547215173e-14,6.592588047e-14,7.507800006e-14,1.033376487e-13,5.58535107e-14,3.428851057e-14,1.435781888e-13,7.236636247e-14,9.096935409e-14,9.826948287e-14,8.29268308e-14,1.462416593e-13,1.666527325e-13,1.213110751e-13,4.909427871e-14,4.614236859e-14,6.605908535e-14,6.990477399e-14,4.700189045e-14,8.744225402e-14,8.701854481e-14,3.97261834e-14,9.122749135e-14
393707106.5989848,7.797612871e-14,3.353941011e-14,8.543054151e-14,9.811888956e-14,8.615487292e-14,1.041367609e-13,2.251325832e-13,6.029708619e-14,1.053745167e-13,1.222932097e-13,1.256124229e-13,4.859574064e-14,7.140510269e-14,6.139158212e-14,9.899844133e-14,8.223079422e-14,1.32080104e-13,8.05791226e-14,8.855482298e-14,7.286975381e-14,7.421514729e-14,1.030220762e-13,7.526578494e-14,5.821330785e-14,7.995418239e-14,5.798060943e-14,2.036088692e-13,5.070712292e-14,4.50575315e-14,4.729833863e-14,1.040570293e-13,6.35069638e-14,7.954816905e-14,6.955834546e-14,1.073008167e-13,7.55681209e-14,5.358861969e-14,9.138468372e-14,1.07810215e-13,5.402854736e-14,1.256645113e-13,7.075628371e-14,7.380896763e-14,9.304412688e-14,7.974321215e-14,2.208898296e-13,8.413714923e-14,5.958023802e-14,3.983520246e-14,6.495527726e-14,9.770847859e-14,1.157584909e-13,4.857969378e-14,2.642056731e-14,8.470247843e-14,5.123506137e-14,5.387216645e-14,9.206693785e-14,6.186230337e-14,7.625610658e-14,7.770905885e-14,6.873453324e-14,6.465461319e-14,1.133855733e-13,1.216382148e-13,7.348810372e-14,1.357984764e-13,5.62287982e-14,1.585494701e-13,1.024982021e-13,2.071998637e-13,5.502839589e-14,4.434054174e-14,5.720541411e-14,6.508240491e-14,7.410545168e-14,1.01316122e-13,4.843040524e-14,3.371947928e-14,1.496472239e-13,7.5445159e-14,1.03519163e-13,9.997611128e-14,8.496447255e-14,1.485581089e-13,1.694287558e-13,1.174252944e-13,5.492534539e-14,4.433664718e-14,6.343203651e-14,6.919041396e-14,4.592644565e-14,8.424644917e-14,8.456123667e-14,4.059377803e-14,9.631613253e-14
